Time,Latitude,Longitude,Unit,Operator,Technology,Service,Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 17:31:02.140000-05:00,41.699142,-86.234566,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,13.343,598.996,427.048,6428.096,2292.36,14591.632,427.048,6428.096,,999051.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6295.0,Bowl
2025-11-22 17:32:25.492000-05:00,41.697972,-86.233352,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999078.0,Instagram,Send,System Release,Bowl,7c36e7df,Verizon,LTE,,Bowl
2025-11-22 17:34:53.799000-05:00,41.697951,-86.233088,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,11.013,725.704,436.456,2457.632,2417.064,6185.136,436.456,2457.632,,999022.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl
2025-11-22 17:36:09.971000-05:00,41.698938,-86.233362,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,4.354,1835.805,2247.664,9231.672,4244.544,20495.92,2247.664,9231.672,,999137.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:36:59.211000-05:00,41.697973,-86.233096,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.867,1164.039,966.296,4818.336,7733.408,22309.152,966.296,4818.336,,999182.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6695.0,Bowl
2025-11-22 17:37:59.594000-05:00,41.698944,-86.233366,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,4.709,1697.831,2167.64,7057.96,10208.248,47228.376,2167.64,7057.96,,999386.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6135.0,Bowl
2025-11-22 17:38:35.875000-05:00,41.698476,-86.234429,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,8.119,984.156,511.344,2792.56,1554.528,6481.616,511.344,2792.56,,998795.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 17:39:56.433000-05:00,41.698999,-86.233212,QualiPoc_619529,T-Mobile,LTE,Instagram,Post Picture,SEND,,,1.982,4031.709,0.0,0.0,0.0,0.0,0.0,0.0,,998856.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,LTE,,Bowl
2025-11-22 17:41:01.445000-05:00,41.698459,-86.23443,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.652,1201.327,1431.2,7640.664,718.128,2443.248,1431.2,7640.664,,998903.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6215.0,Bowl
2025-11-22 17:41:36.449000-05:00,41.698371,-86.233287,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,9.106,877.704,1259.032,4456.688,8023.952,46723.184,1259.032,4456.688,,999047.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6055.0,Bowl
2025-11-22 17:43:44.637000-05:00,41.698367,-86.233274,QualiPoc_396840,T-Mobile,LTE,Instagram,Post Picture,SEND,,,2.168,3687.657,0.0,0.0,0.0,0.0,0.0,0.0,,999355.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,LTE,,Bowl
2025-11-22 17:44:20.067000-05:00,41.698468,-86.234718,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.462,1463.435,728.192,7172.32,2841.888,6669.808,728.192,7172.32,,999160.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 17:45:45.055000-05:00,41.699003,-86.233194,QualiPoc_619529,T-Mobile,LTE,Instagram,Post Picture,SEND,,57.144.204.192,,,,,,,,,,998878.0,Instagram,Send,System Release,Bowl,64957d65,Wi-Fi 6,LTE,6375.0,Bowl
