Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Data Test,Data Test Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:21:40.016000-05:00,41.698464,-86.23337,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,8.518,938.294,827.888,2822.744,9272.168,21935.6,827.888,2822.744,,999049.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 12:24:06.101000-05:00,41.698827,-86.233376,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.415,1475.945,857.608,8512.344,9839.664,25140.304,857.608,8512.344,,999030.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:24:10.314000-05:00,41.69884,-86.233379,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.934,1347.073,820.736,6720.112,2738.8,4722.184,820.736,6720.112,,999191.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:24:24.962000-05:00,41.698465,-86.23336,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,4.46,1792.224,89.064,158.696,10579.624,23605.432,89.064,158.696,,999165.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:26:08.159000-05:00,41.698839,-86.233382,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,129.134.149.160,6.203,1288.355,895.328,7451.768,17576.184,23554.976,895.328,7451.768,,998958.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 5,LTE,5640.0,Bowl,AT&T
2026-02-26 12:27:44.364000-05:00,41.697975,-86.233329,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,4.638,1723.31,114.328,192.264,9821.208,24334.856,114.328,192.264,,999089.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:29:27.269000-05:00,41.698444,-86.23336,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.672,1409.832,806.184,8439.616,9829.8,20929.648,806.184,8439.616,,999571.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:29:41.072000-05:00,41.697963,-86.233355,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,5.008,1595.874,1619.712,8164.856,19351.84,50462.696,1619.712,8164.856,,999017.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:29:50.991000-05:00,41.698439,-86.233379,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.536,1222.845,787.968,7949.408,4282.52,6342.392,787.968,7949.408,,999064.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:31:57.550000-05:00,41.698455,-86.233408,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.117,1561.854,1092.336,8410.712,19390.592,43471.592,1092.336,8410.712,,999001.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6035.0,Bowl,Verizon
