Time,Latitude,Longitude,Unit,Operator,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size Of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,Data Technology Reporting,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-08 21:50:47.622000-05:00,41.697928,-86.232943,QualiPoc_361786,AT&T,4.729,0.36,167313.7555555552,236.0,324.0,1673.33984375,98.0,7529.119,2,Android 14 - WebView 117.0.5938.60,Page download completed,390,1,38,enhancedphone,,10.12.22.147,146.75.82.132,foxsports.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:53.869000-05:00,41.697908,-86.232931,QualiPoc_361786,AT&T,5.018,0.455,87225.6,516.0,681.0,1138.318513569082,103.0,4960.956,1,Android 14 - WebView 117.0.5938.60,Page download completed,76,2,15,enhancedphone,,10.12.22.147,104.18.87.42,bleacherreport.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:51:51.373000-05:00,41.697335,-86.233967,QualiPoc_396840,Verizon,,,,184.0,324.0,32.525746181961914,34.0,,1,Android 14 - WebView 117.0.5938.60,Page download completed,66,0,14,VZWINTERNET,,100.95.22.252,146.75.82.133,247sports.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Failed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:51:57.747000-05:00,41.69733,-86.233998,QualiPoc_396840,Verizon,5.218,0.595,77272.22857142857,282.0,456.0,1187.5632306654688,45.0,5747.122,1,Android 14 - WebView 117.0.5938.60,Page download completed,254,0,57,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2001:4888:0030:FF00:0342:000D:0000:0001,ncaa.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:52:00.424000-05:00,41.69733,-86.233998,QualiPoc_396840,Verizon,1.43,0.824,12944.009708737842,249.0,382.0,1254.321147940752,33.0,1333.233,1,Android 14 - WebView 117.0.5938.60,Page download completed,52,0,4,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2600:1407:3C00:002E:0000:0000:17C8:9CCF,espn.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:52:04.406000-05:00,41.697355,-86.233992,QualiPoc_396840,Verizon,2.828,0.947,20790.54699049632,156.0,279.0,989.460442182998,45.0,2461.081,1,Android 14 - WebView 117.0.5938.60,Page download completed,93,0,2,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2001:4998:0060:0807:0000:0000:0000:0002,sports.yahoo.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:52:08.382000-05:00,41.697373,-86.233992,QualiPoc_396840,Verizon,2.716,0.242,196724.9256198344,188.0,339.0,2465.614807620918,40.0,5950.929,2,Android 14 - WebView 117.0.5938.60,Page download completed,346,1,32,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2600:1407:3C00:1868:0000:0000:17DC:900C,foxsports.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:52:12.812000-05:00,41.697382,-86.233997,QualiPoc_396840,Verizon,3.201,0.355,115165.1154929576,230.0,408.0,1788.1317740057325,34.0,5110.452,1,Android 14 - WebView 117.0.5938.60,Page download completed,77,0,15,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2606:4700:0000:0000:0000:0000:6812:572A,bleacherreport.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:53:39.937000-05:00,41.697367,-86.234014,QualiPoc_396840,Verizon,2.181,0.282,110975.5744680848,223.0,394.0,2141.370012086601,39.0,3911.889,2,Android 14 - WebView 117.0.5938.60,Page download completed,37,0,6,VZWINTERNET,,10.12.105.30,57.144.204.192,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Wi-Fi 6,LTE,6215.0,Concourse
2025-11-08 21:53:43.773000-05:00,41.697373,-86.234045,QualiPoc_396840,Verizon,2.695,1.622,6949.233045622688,198.0,371.0,718.1286901422236,92.0,1408.957,1,Android 14 - WebView 117.0.5938.60,Page download completed,6,0,1,VZWINTERNET,,10.12.105.30,199.232.72.159,x.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Wi-Fi 6,LTE,6215.0,Concourse
